pipeline,detector,candidate_id,parameters,policy_id,policy_semantics,selection_policy,healthy_windows,ambiguous_windows,anomalous_windows,pr_auc,roc_auc,selection_mean_pr_auc,selection_mean_roc_auc
p0_global,pca,pca_candidate_2,"{""n_components"": 0.95}",normalized_life_last_30pct_full_window,full_window,False,6075,1508,1782,0.6701494967552256,0.8960996337402373,0.6105321246290681,0.8526208596239865
p0_global,pca,pca_candidate_3,"{""n_components"": 0.99}",normalized_life_last_10pct_endpoint,endpoint,True,8253,0,1112,0.646011664082964,0.9523857468005966,0.7217192761097109,0.9294763290128648
p0_global,pca,pca_candidate_3,"{""n_components"": 0.99}",normalized_life_last_20pct_endpoint,endpoint,True,7170,0,2195,0.7430484786927817,0.933502031687333,0.7217192761097109,0.9294763290128648
p0_global,pca,pca_candidate_3,"{""n_components"": 0.99}",normalized_life_last_20pct_full_window,full_window,False,7170,1505,690,0.6983708418568798,0.9791927920279748,0.7217192761097109,0.9294763290128648
p0_global,pca,pca_candidate_3,"{""n_components"": 0.99}",normalized_life_last_30pct_endpoint,endpoint,True,6075,0,3290,0.7760976855533871,0.9025412085506649,0.7217192761097109,0.9294763290128648
p0_global,pca,pca_candidate_3,"{""n_components"": 0.99}",normalized_life_last_30pct_full_window,full_window,False,6075,1508,1782,0.7878106972563732,0.9598331739895526,0.7217192761097109,0.9294763290128648
p1_k6,isolation_forest,isolation_forest_candidate_1,"{""max_samples"": 256, ""n_estimators"": 300}",normalized_life_last_10pct_endpoint,endpoint,True,8253,0,1112,0.5710742620502286,0.9491580672212503,0.7891693415246449,0.9559210354459168
p1_k6,isolation_forest,isolation_forest_candidate_1,"{""max_samples"": 256, ""n_estimators"": 300}",normalized_life_last_20pct_endpoint,endpoint,True,7170,0,2195,0.8773002059964948,0.9718121888532006,0.7891693415246449,0.9559210354459168
p1_k6,isolation_forest,isolation_forest_candidate_1,"{""max_samples"": 256, ""n_estimators"": 300}",normalized_life_last_20pct_full_window,full_window,False,7170,1505,690,0.7925670728023321,0.987347239908637,0.7891693415246449,0.9559210354459168
p1_k6,isolation_forest,isolation_forest_candidate_1,"{""max_samples"": 256, ""n_estimators"": 300}",normalized_life_last_30pct_endpoint,endpoint,True,6075,0,3290,0.9191335565272112,0.9467928502632994,0.7891693415246449,0.9559210354459168
p1_k6,isolation_forest,isolation_forest_candidate_1,"{""max_samples"": 256, ""n_estimators"": 300}",normalized_life_last_30pct_full_window,full_window,False,6075,1508,1782,0.9743906903022576,0.9947168992162133,0.7891693415246449,0.9559210354459168
p1_k6,isolation_forest,isolation_forest_candidate_2,"{""max_samples"": 1024, ""n_estimators"": 300}",normalized_life_last_10pct_endpoint,endpoint,True,8253,0,1112,0.49046636397582893,0.9299931374420638,0.7528243342454557,0.9496431587245521
p1_k6,isolation_forest,isolation_forest_candidate_2,"{""max_samples"": 1024, ""n_estimators"": 300}",normalized_life_last_20pct_endpoint,endpoint,True,7170,0,2195,0.845038631478733,0.9671760975718239,0.7528243342454557,0.9496431587245521
p1_k6,isolation_forest,isolation_forest_candidate_2,"{""max_samples"": 1024, ""n_estimators"": 300}",normalized_life_last_20pct_full_window,full_window,False,7170,1505,690,0.687528282898584,0.9781303943565176,0.7528243342454557,0.9496431587245521
p1_k6,isolation_forest,isolation_forest_candidate_2,"{""max_samples"": 1024, ""n_estimators"": 300}",normalized_life_last_30pct_endpoint,endpoint,True,6075,0,3290,0.9229680072818052,0.9517602411597683,0.7528243342454557,0.9496431587245521
p1_k6,isolation_forest,isolation_forest_candidate_2,"{""max_samples"": 1024, ""n_estimators"": 300}",normalized_life_last_30pct_full_window,full_window,False,6075,1508,1782,0.9654061568906731,0.993929648566137,0.7528243342454557,0.9496431587245521
p1_k6,isolation_forest,isolation_forest_candidate_3,"{""max_samples"": 5000, ""n_estimators"": 300}",normalized_life_last_10pct_endpoint,endpoint,True,8253,0,1112,0.4440185776859024,0.9156421863599632,0.7188238488854893,0.9411912604638513
p1_k6,isolation_forest,isolation_forest_candidate_3,"{""max_samples"": 5000, ""n_estimators"": 300}",normalized_life_last_20pct_endpoint,endpoint,True,7170,0,2195,0.8028769604182333,0.9588551068581759,0.7188238488854893,0.9411912604638513
p1_k6,isolation_forest,isolation_forest_candidate_3,"{""max_samples"": 5000, ""n_estimators"": 300}",normalized_life_last_20pct_full_window,full_window,False,7170,1505,690,0.5958549222797928,0.9673640167364017,0.7188238488854893,0.9411912604638513
p1_k6,isolation_forest,isolation_forest_candidate_3,"{""max_samples"": 5000, ""n_estimators"": 300}",normalized_life_last_30pct_endpoint,endpoint,True,6075,0,3290,0.9095760085523321,0.949076488173415,0.7188238488854893,0.9411912604638513
p1_k6,isolation_forest,isolation_forest_candidate_3,"{""max_samples"": 5000, ""n_estimators"": 300}",normalized_life_last_30pct_full_window,full_window,False,6075,1508,1782,0.9373314461381148,0.9896608979599377,0.7188238488854893,0.9411912604638513
p1_k6,lof,lof_candidate_1,"{""n_neighbors"": 20}",normalized_life_last_10pct_endpoint,endpoint,True,8253,0,1112,0.7069191899503049,0.9665940638982816,0.8496951348722845,0.9643631320006215
p1_k6,lof,lof_candidate_1,"{""n_neighbors"": 20}",normalized_life_last_20pct_endpoint,endpoint,True,7170,0,2195,0.9070184023635939,0.9723926891025947,0.8496951348722845,0.9643631320006215
p1_k6,lof,lof_candidate_1,"{""n_neighbors"": 20}",normalized_life_last_20pct_full_window,full_window,False,7170,1505,690,0.9222916312868922,0.9951365391223496,0.8496951348722845,0.9643631320006215
p1_k6,lof,lof_candidate_1,"{""n_neighbors"": 20}",normalized_life_last_30pct_endpoint,endpoint,True,6075,0,3290,0.9351478123029549,0.9541026430009882,0.8496951348722845,0.9643631320006215
p1_k6,lof,lof_candidate_1,"{""n_neighbors"": 20}",normalized_life_last_30pct_full_window,full_window,False,6075,1508,1782,0.9828529126186503,0.99408054019851,0.8496951348722845,0.9643631320006215
p1_k6,lof,lof_candidate_2,"{""n_neighbors"": 35}",normalized_life_last_10pct_endpoint,endpoint,True,8253,0,1112,0.7095811618721906,0.9662803018217923,0.8378030557652613,0.9612069294908049
p1_k6,lof,lof_candidate_2,"{""n_neighbors"": 35}",normalized_life_last_20pct_endpoint,endpoint,True,7170,0,2195,0.8862451158861933,0.9679135412993269,0.8378030557652613,0.9612069294908049
p1_k6,lof,lof_candidate_2,"{""n_neighbors"": 35}",normalized_life_last_20pct_full_window,full_window,False,7170,1505,690,0.9088823653344829,0.9943217512582622,0.8378030557652613,0.9612069294908049
p1_k6,lof,lof_candidate_2,"{""n_neighbors"": 35}",normalized_life_last_30pct_endpoint,endpoint,True,6075,0,3290,0.9175828895373996,0.9494269453512952,0.8378030557652613,0.9612069294908049
p1_k6,lof,lof_candidate_2,"{""n_neighbors"": 35}",normalized_life_last_30pct_full_window,full_window,False,6075,1508,1782,0.9639674399945253,0.9905497591368648,0.8378030557652613,0.9612069294908049
p1_k6,lof,lof_candidate_3,"{""n_neighbors"": 50}",normalized_life_last_10pct_endpoint,endpoint,True,8253,0,1112,0.7188468177428264,0.9672298148395134,0.8471410712605875,0.9626337791850684
p1_k6,lof,lof_candidate_3,"{""n_neighbors"": 50}",normalized_life_last_20pct_endpoint,endpoint,True,7170,0,2195,0.8979223935103731,0.9698549067075863,0.8471410712605875,0.9626337791850684
p1_k6,lof,lof_candidate_3,"{""n_neighbors"": 50}",normalized_life_last_20pct_full_window,full_window,False,7170,1505,690,0.9234535988099475,0.9952677217876418,0.8471410712605875,0.9626337791850684
p1_k6,lof,lof_candidate_3,"{""n_neighbors"": 50}",normalized_life_last_30pct_endpoint,endpoint,True,6075,0,3290,0.9246540025285631,0.9508166160081053,0.8471410712605875,0.9626337791850684
p1_k6,lof,lof_candidate_3,"{""n_neighbors"": 50}",normalized_life_last_30pct_full_window,full_window,False,6075,1508,1782,0.9687927785402449,0.9910620609386042,0.8471410712605875,0.9626337791850684
