candidate_id,detector_id,policy_id,engine,onset_cycle,max_cycle,first_detection_end_cycle,detected,missed,false_event_count,healthy_false_alert,crossing_event_count,total_event_count,first_alert_delay,lead_cycles
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_20pct_endpoint,14,155,193,179.0,True,False,0,False,0,1,24.0,14.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_20pct_endpoint,17,145,180,,False,True,0,False,0,0,,
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_20pct_endpoint,24,153,191,169.0,True,False,0,False,0,1,16.0,22.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_20pct_endpoint,26,150,187,179.0,True,False,0,False,0,1,29.0,8.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_20pct_endpoint,27,141,176,160.0,True,False,0,False,0,1,19.0,16.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_20pct_endpoint,30,133,166,135.0,True,False,0,False,0,1,2.0,31.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_20pct_endpoint,32,225,281,242.0,True,False,2,True,0,3,17.0,39.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_20pct_endpoint,41,210,262,243.0,True,False,0,False,0,1,33.0,19.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_20pct_endpoint,42,177,221,,False,True,2,True,1,2,,
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_20pct_endpoint,46,161,201,188.0,True,False,0,False,0,1,27.0,13.0
