candidate_id,detector_id,threshold_context,threshold_rule_id,ewma_id,ewma_alpha,persistence,minimum_engine_detection_coverage,mean_engine_detection_coverage,worst_false_positive_alerted_endpoints_per_1000,worst_false_alert_events_per_1000,worst_percent_engines_with_healthy_false_alert,median_policy_median_detection_delay,median_policy_median_lead_cycles,feasible
lof__global__mean_plus_1.5_std__ewma_alpha_0.50__persistence_3,lof,global,mean_plus_1.5_std,alpha_0.50,0.5,3,0.0,14.102564102564102,491.0941475826972,30.781893004115226,100.0,,,False
lof__global__mean_plus_1.5_std__ewma_alpha_0.50__persistence_5,lof,global,mean_plus_1.5_std,alpha_0.50,0.5,5,0.0,15.384615384615385,444.2021083242457,22.386831275720166,100.0,,,False
lof__global__mean_plus_1.5_std__ewma_alpha_0.50__persistence_8,lof,global,mean_plus_1.5_std,alpha_0.50,0.5,8,0.0,18.58974358974359,393.06918696231673,14.923291492329149,100.0,,,False
lof__global__mean_plus_1.5_std__ewma_alpha_0.80__persistence_1,lof,global,mean_plus_1.5_std,alpha_0.80,0.8,1,0.0,13.461538461538462,618.0782745668242,100.24691358024691,100.0,,,False
lof__global__mean_plus_1.5_std__ewma_alpha_0.80__persistence_3,lof,global,mean_plus_1.5_std,alpha_0.80,0.8,3,0.0,16.025641025641026,494.8503574457773,38.02469135802469,100.0,,,False
lof__global__mean_plus_1.5_std__ewma_alpha_0.80__persistence_5,lof,global,mean_plus_1.5_std,alpha_0.80,0.8,5,0.0,17.30769230769231,439.35538592027143,23.209876543209877,100.0,,,False
lof__global__mean_plus_1.5_std__ewma_alpha_0.80__persistence_8,lof,global,mean_plus_1.5_std,alpha_0.80,0.8,8,0.0,21.153846153846153,385.6779352962559,15.06276150627615,100.0,,,False
lof__global__mean_plus_2.0_std__ewma_off__persistence_1,lof,global,mean_plus_2.0_std,off,,1,0.0,0.0,0.0,0.0,0.0,,,True
lof__global__mean_plus_2.0_std__ewma_off__persistence_3,lof,global,mean_plus_2.0_std,off,,3,0.0,0.0,0.0,0.0,0.0,,,True
lof__global__mean_plus_2.0_std__ewma_off__persistence_5,lof,global,mean_plus_2.0_std,off,,5,0.0,0.0,0.0,0.0,0.0,,,True
lof__global__mean_plus_2.0_std__ewma_off__persistence_8,lof,global,mean_plus_2.0_std,off,,8,0.0,0.0,0.0,0.0,0.0,,,True
lof__global__mean_plus_2.0_std__ewma_alpha_0.20__persistence_1,lof,global,mean_plus_2.0_std,alpha_0.20,0.2,1,0.0,0.0,0.0,0.0,0.0,,,True
lof__global__mean_plus_2.0_std__ewma_alpha_0.20__persistence_3,lof,global,mean_plus_2.0_std,alpha_0.20,0.2,3,0.0,0.0,0.0,0.0,0.0,,,True
lof__global__mean_plus_2.0_std__ewma_alpha_0.20__persistence_5,lof,global,mean_plus_2.0_std,alpha_0.20,0.2,5,0.0,0.0,0.0,0.0,0.0,,,True
lof__global__mean_plus_2.0_std__ewma_alpha_0.20__persistence_8,lof,global,mean_plus_2.0_std,alpha_0.20,0.2,8,0.0,0.0,0.0,0.0,0.0,,,True
lof__global__mean_plus_2.0_std__ewma_alpha_0.50__persistence_1,lof,global,mean_plus_2.0_std,alpha_0.50,0.5,1,0.0,0.0,0.0,0.0,0.0,,,True
lof__global__mean_plus_2.0_std__ewma_alpha_0.50__persistence_3,lof,global,mean_plus_2.0_std,alpha_0.50,0.5,3,0.0,0.0,0.0,0.0,0.0,,,True
lof__global__mean_plus_2.0_std__ewma_alpha_0.50__persistence_5,lof,global,mean_plus_2.0_std,alpha_0.50,0.5,5,0.0,0.0,0.0,0.0,0.0,,,True
lof__global__mean_plus_2.0_std__ewma_alpha_0.50__persistence_8,lof,global,mean_plus_2.0_std,alpha_0.50,0.5,8,0.0,0.0,0.0,0.0,0.0,,,True
lof__global__mean_plus_2.0_std__ewma_alpha_0.80__persistence_1,lof,global,mean_plus_2.0_std,alpha_0.80,0.8,1,0.0,0.0,0.0,0.0,0.0,,,True
lof__global__mean_plus_2.0_std__ewma_alpha_0.80__persistence_3,lof,global,mean_plus_2.0_std,alpha_0.80,0.8,3,0.0,0.0,0.0,0.0,0.0,,,True
lof__global__mean_plus_2.0_std__ewma_alpha_0.80__persistence_5,lof,global,mean_plus_2.0_std,alpha_0.80,0.8,5,0.0,0.0,0.0,0.0,0.0,,,True
lof__global__mean_plus_2.0_std__ewma_alpha_0.80__persistence_8,lof,global,mean_plus_2.0_std,alpha_0.80,0.8,8,0.0,0.0,0.0,0.0,0.0,,,True
lof__per_mode__quantile_0.900__ewma_off__persistence_1,lof,per_mode,quantile_0.900,off,,1,0.0,11.538461538461538,709.9236641221374,140.74074074074073,100.0,,,False
lof__per_mode__quantile_0.900__ewma_off__persistence_3,lof,per_mode,quantile_0.900,off,,3,0.0,13.46153846153846,545.7409426875075,48.888888888888886,100.0,,,False
lof__per_mode__quantile_0.900__ewma_off__persistence_5,lof,per_mode,quantile_0.900,off,,5,0.0,14.743589743589743,478.85617351266205,27.818930041152264,100.0,,,False
lof__per_mode__quantile_0.900__ewma_off__persistence_8,lof,per_mode,quantile_0.900,off,,8,0.0,19.23076923076923,417.9086392826851,17.712691771269178,100.0,,,False
lof__per_mode__quantile_0.900__ewma_alpha_0.20__persistence_1,lof,per_mode,quantile_0.900,alpha_0.20,0.2,1,0.0,9.615384615384615,603.5381073549013,52.510288065843625,100.0,,,False
lof__per_mode__quantile_0.900__ewma_alpha_0.20__persistence_3,lof,per_mode,quantile_0.900,alpha_0.20,0.2,3,0.0,10.256410256410257,536.2898339997577,25.185185185185187,100.0,,,False
lof__per_mode__quantile_0.900__ewma_alpha_0.20__persistence_5,lof,per_mode,quantile_0.900,alpha_0.20,0.2,5,0.0,11.538461538461538,497.87955894826126,18.106995884773664,100.0,,,False
lof__per_mode__quantile_0.900__ewma_alpha_0.20__persistence_8,lof,per_mode,quantile_0.900,alpha_0.20,0.2,8,0.0,14.102564102564102,452.80504059130016,15.802469135802468,100.0,,,False
lof__per_mode__quantile_0.900__ewma_alpha_0.50__persistence_1,lof,per_mode,quantile_0.900,alpha_0.50,0.5,1,0.0,10.256410256410257,646.3104325699745,71.93415637860082,100.0,,,False
lof__per_mode__quantile_0.900__ewma_alpha_0.50__persistence_3,lof,per_mode,quantile_0.900,alpha_0.50,0.5,3,0.0,10.897435897435898,554.4650430146613,36.8724279835391,100.0,,,False
lof__per_mode__quantile_0.900__ewma_alpha_0.50__persistence_5,lof,per_mode,quantile_0.900,alpha_0.50,0.5,5,0.0,12.17948717948718,501.1510965709439,26.666666666666668,100.0,,,False
lof__per_mode__quantile_0.900__ewma_alpha_0.50__persistence_8,lof,per_mode,quantile_0.900,alpha_0.50,0.5,8,0.0,16.666666666666668,441.65757906215924,18.271604938271604,100.0,,,False
