run_id,stage,pipeline,architecture_id,seed,epoch,development_loss,monitor_loss
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43,stage2,p0_global,balanced_64x16_l1,43,36,0.8095565652811609,0.8451550252886347
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43,stage2,p0_global,balanced_64x16_l1,43,37,0.8079589144106426,0.8345228372022864
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43,stage2,p0_global,balanced_64x16_l1,43,38,0.8078927273512004,0.8441374213631274
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43,stage2,p0_global,balanced_64x16_l1,43,39,0.8033038662117304,0.8376944465723213
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43,stage2,p0_global,balanced_64x16_l1,43,40,0.8004438799253664,0.8328166759583957
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43,stage2,p0_global,balanced_64x16_l1,43,41,0.7980310918183618,0.8315419062892475
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43,stage2,p0_global,balanced_64x16_l1,43,42,0.7933687412839958,0.8333803608902848
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43,stage2,p0_global,balanced_64x16_l1,43,43,0.7954981465353401,0.8254711060325782
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43,stage2,p0_global,balanced_64x16_l1,43,44,0.7870789156283334,0.8294057188582853
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43,stage2,p0_global,balanced_64x16_l1,43,45,0.7870092482308035,0.8280245139692753
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43,stage2,p0_global,balanced_64x16_l1,43,46,0.7851394329006365,0.8263574849724605
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43,stage2,p0_global,balanced_64x16_l1,43,47,0.7829485985548411,0.824020538267738
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43,stage2,p0_global,balanced_64x16_l1,43,48,0.782926984232708,0.8197119451679226
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43,stage2,p0_global,balanced_64x16_l1,43,49,0.7829628557361071,0.8212476782498828
fd002_lstm_v1_stage2_p0_global_balanced_64x16_l1_seed43,stage2,p0_global,balanced_64x16_l1,43,50,0.7771430984421519,0.8183525465839537
fd002_lstm_v1_stage2_p1_k6_balanced_64x16_l1_seed43,stage2,p1_k6,balanced_64x16_l1,43,1,0.6887878327598121,0.5370299697274048
fd002_lstm_v1_stage2_p1_k6_balanced_64x16_l1_seed43,stage2,p1_k6,balanced_64x16_l1,43,2,0.5589140371107121,0.49787653106652974
fd002_lstm_v1_stage2_p1_k6_balanced_64x16_l1_seed43,stage2,p1_k6,balanced_64x16_l1,43,3,0.5435576087062651,0.4918486577707227
