run_id,stage,pipeline,architecture_id,seed,parameter_count,epochs_completed,best_epoch,best_monitor_loss,selection_mean_pr_auc,selection_mean_roc_auc,artifact_path,policy_id,policy_semantics,selection_policy,healthy_windows,ambiguous_windows,anomalous_windows,pr_auc,roc_auc
fd002_lstm_v1_stage2_p1_k6_balanced_64x16_l1_seed43,stage2,p1_k6,balanced_64x16_l1,43,59045,50,47,0.4806147297430849,0.8096174347354642,0.9507896124673748,models\lstm_v2\fd002_lstm_v1_stage2_p1_k6_balanced_64x16_l1_seed43.pt,normalized_life_last_30pct_full_window,full_window,False,6075,1508,1782,0.9721564419812108,0.993206643480992
fd002_lstm_v1_stage2_p1_k6_balanced_64x16_l1_seed44,stage2,p1_k6,balanced_64x16_l1,44,59045,50,50,0.48088688815264347,0.8108828308398239,0.9523263402638339,models\lstm_v2\fd002_lstm_v1_stage2_p1_k6_balanced_64x16_l1_seed44.pt,normalized_life_last_10pct_endpoint,endpoint,True,8253,0,1112,0.6405250094614104,0.9597906189770103
fd002_lstm_v1_stage2_p1_k6_balanced_64x16_l1_seed44,stage2,p1_k6,balanced_64x16_l1,44,59045,50,50,0.48088688815264347,0.8108828308398239,0.9523263402638339,models\lstm_v2\fd002_lstm_v1_stage2_p1_k6_balanced_64x16_l1_seed44.pt,normalized_life_last_20pct_endpoint,endpoint,True,7170,0,2195,0.8850211737533314,0.9682584357119484
fd002_lstm_v1_stage2_p1_k6_balanced_64x16_l1_seed44,stage2,p1_k6,balanced_64x16_l1,44,59045,50,50,0.48088688815264347,0.8108828308398239,0.9523263402638339,models\lstm_v2\fd002_lstm_v1_stage2_p1_k6_balanced_64x16_l1_seed44.pt,normalized_life_last_20pct_full_window,full_window,False,7170,1505,690,0.8950004992118158,0.9939583207001799
fd002_lstm_v1_stage2_p1_k6_balanced_64x16_l1_seed44,stage2,p1_k6,balanced_64x16_l1,44,59045,50,50,0.48088688815264347,0.8108828308398239,0.9523263402638339,models\lstm_v2\fd002_lstm_v1_stage2_p1_k6_balanced_64x16_l1_seed44.pt,normalized_life_last_30pct_endpoint,endpoint,True,6075,0,3290,0.9071023093047301,0.928929966102543
fd002_lstm_v1_stage2_p1_k6_balanced_64x16_l1_seed44,stage2,p1_k6,balanced_64x16_l1,44,59045,50,50,0.48088688815264347,0.8108828308398239,0.9523263402638339,models\lstm_v2\fd002_lstm_v1_stage2_p1_k6_balanced_64x16_l1_seed44.pt,normalized_life_last_30pct_full_window,full_window,False,6075,1508,1782,0.9735827895602155,0.9934911991427767
fd002_lstm_v1_stage2_p1_k6_balanced_64x16_l1_seed45,stage2,p1_k6,balanced_64x16_l1,45,59045,50,47,0.48090395845391304,0.8127866266933063,0.951046974862784,models\lstm_v2\fd002_lstm_v1_stage2_p1_k6_balanced_64x16_l1_seed45.pt,normalized_life_last_10pct_endpoint,endpoint,True,8253,0,1112,0.6511530794643943,0.9613826387090981
fd002_lstm_v1_stage2_p1_k6_balanced_64x16_l1_seed45,stage2,p1_k6,balanced_64x16_l1,45,59045,50,47,0.48090395845391304,0.8127866266933063,0.951046974862784,models\lstm_v2\fd002_lstm_v1_stage2_p1_k6_balanced_64x16_l1_seed45.pt,normalized_life_last_20pct_endpoint,endpoint,True,7170,0,2195,0.8849574736492835,0.967372880548222
fd002_lstm_v1_stage2_p1_k6_balanced_64x16_l1_seed45,stage2,p1_k6,balanced_64x16_l1,45,59045,50,47,0.48090395845391304,0.8127866266933063,0.951046974862784,models\lstm_v2\fd002_lstm_v1_stage2_p1_k6_balanced_64x16_l1_seed45.pt,normalized_life_last_20pct_full_window,full_window,False,7170,1505,690,0.9067074296985695,0.9946314151153155
fd002_lstm_v1_stage2_p1_k6_balanced_64x16_l1_seed45,stage2,p1_k6,balanced_64x16_l1,45,59045,50,47,0.48090395845391304,0.8127866266933063,0.951046974862784,models\lstm_v2\fd002_lstm_v1_stage2_p1_k6_balanced_64x16_l1_seed45.pt,normalized_life_last_30pct_endpoint,endpoint,True,6075,0,3290,0.902249326966241,0.9243854053310318
fd002_lstm_v1_stage2_p1_k6_balanced_64x16_l1_seed45,stage2,p1_k6,balanced_64x16_l1,45,59045,50,47,0.48090395845391304,0.8127866266933063,0.951046974862784,models\lstm_v2\fd002_lstm_v1_stage2_p1_k6_balanced_64x16_l1_seed45.pt,normalized_life_last_30pct_full_window,full_window,False,6075,1508,1782,0.9715821820215325,0.9927348011435803
